ubigeo,departamento,dom_Geo,provincia,distrito,total_electoral,total_ausentismo,porc_Ausentismo,ord_Ausentismo,dic_Ausentismo,porc_hogares_sin_medios,IDH,alfabetismo,partidoGanador,porc_2_NBI,GINI
010102,Amazonas,Norte,Chachapoyas,Asunción,234.0,59.0,25.213675,3.0,1.0,100.0,0.58146256,86.8932,PERU POSIBLE,51.11,0.3
010103,Amazonas,Norte,Chachapoyas,Balsas,848.0,208.0,24.528301,3.0,1.0,94.87,0.5621409,86.52729,FUERZA 2011,20.23,0.31
010104,Amazonas,Norte,Chachapoyas,Cheto,478.0,51.0,10.6694565,0.0,0.0,99.4,0.5991503,92.838196,GANA PERU,16.87,0.28
010105,Amazonas,Norte,Chachapoyas,Chiliquín,638.0,197.0,30.877743,3.0,1.0,99.6,0.54548395,86.54174,FUERZA 2011,31.73,0.29
010106,Amazonas,Norte,Chachapoyas,Chuquibamba,1161.0,333.0,28.68217,3.0,1.0,99.62,0.584659,92.59843,FUERZA 2011,17.55,0.31
010107,Amazonas,Norte,Chachapoyas,Granada,368.0,79.0,21.467392,2.0,1.0,98.35,0.57261777,85.29412,FUERZA 2011,38.84,0.27
010108,Amazonas,Norte,Chachapoyas,Huancas,361.0,60.0,16.620499,1.0,0.0,81.08,0.5908123,89.79592,FUERZA 2011,14.41,0.26
010109,Amazonas,Norte,Chachapoyas,La Jalca,3066.0,554.0,18.069145,2.0,0.0,99.44,0.5605888,86.638626,GANA PERU,19.49,0.36
010110,Amazonas,Norte,Chachapoyas,Leimebamba,2349.0,566.0,24.09536,3.0,1.0,95.78,0.57850605,88.74223,PERU POSIBLE,10.85,0.34
010111,Amazonas,Norte,Chachapoyas,Levanto,725.0,122.0,16.827587,1.0,0.0,100.0,0.563036,84.419716,FUERZA 2011,12.26,0.27
010112,Amazonas,Norte,Chachapoyas,Magdalena,625.0,105.0,16.8,1.0,0.0,96.81,0.6055388,90.0685,GANA PERU,5.58,0.31
010113,Amazonas,Norte,Chachapoyas,Mariscal Castilla,839.0,223.0,26.579262,3.0,1.0,100.0,0.5916548,89.62766,FUERZA 2011,4.97,0.31
010114,Amazonas,Norte,Chachapoyas,Molinopampa,1309.0,225.0,17.188694,1.0,0.0,97.68,0.5901738,88.51852,GANA PERU,31.35,0.33
010115,Amazonas,Norte,Chachapoyas,Montevideo,563.0,116.0,20.603909,2.0,1.0,95.88,0.6041132,93.80342,FUERZA 2011,0.52,0.29
010116,Amazonas,Norte,Chachapoyas,Olleros,318.0,80.0,25.157232,3.0,1.0,100.0,0.56754243,83.794464,GANA PERU,30.1,0.27
010117,Amazonas,Norte,Chachapoyas,Quinjalca,640.0,182.0,28.4375,3.0,1.0,99.63,0.5606696,84.485405,PERU POSIBLE,27.31,0.27
010118,Amazonas,Norte,Chachapoyas,San Francisco de Daguas,298.0,68.0,22.818792,2.0,1.0,95.65,0.6064599,90.82569,GANA PERU,11.96,0.28
010119,Amazonas,Norte,Chachapoyas,San Isidro de Maino,476.0,88.0,18.487394,2.0,0.0,97.51,0.5726266,90.70248,PERU POSIBLE,16.92,0.29
010120,Amazonas,Norte,Chachapoyas,Soloco,993.0,164.0,16.51561,1.0,0.0,99.47,0.57579315,88.32117,GANA PERU,17.2,0.28
010121,Amazonas,Norte,Chachapoyas,Sonche,272.0,69.0,25.367647,3.0,1.0,92.96,0.55686593,84.353745,FUERZA 2011,49.3,0.29
010201,Amazonas,Norte,Bagua,La Peca,11679.0,4340.0,37.160717,3.0,1.0,52.05,0.61865747,92.38466,GANA PERU,6.97,0.34
010202,Amazonas,Norte,Bagua,Aramango,7396.0,1694.0,22.904272,2.0,1.0,98.88,0.5739108,86.19307,FUERZA 2011,30.17,0.3
010203,Amazonas,Norte,Bagua,Copallín,3923.0,818.0,20.851389,2.0,1.0,79.95,0.58234346,86.536606,FUERZA 2011,18.11,0.27
010204,Amazonas,Norte,Bagua,El Parco,1228.0,242.0,19.70684,2.0,0.0,62.14,0.5899734,87.83314,GANA PERU,14.24,0.28
010205,Amazonas,Norte,Bagua,Imaza,12104.0,3288.0,27.164574,3.0,1.0,98.94,0.5482979,82.70998,GANA PERU,59.17,0.31
010301,Amazonas,Norte,Bongará,Jumbilla,755.0,213.0,28.21192,3.0,1.0,95.06,0.6005985,94.61756,GANA PERU,7.94,0.35
010302,Amazonas,Norte,Bongará,Chisquilla,313.0,48.0,15.335464,1.0,0.0,98.94,0.6093829,96.713615,GANA PERU,16.28,0.28
010303,Amazonas,Norte,Bongará,Churuja,368.0,107.0,29.076086,3.0,1.0,92.75,0.602919,91.53439,FUERZA 2011,30.43,0.36
010304,Amazonas,Norte,Bongará,Corosha,575.0,108.0,18.782608,2.0,0.0,99.38,0.5701922,86.49289,GANA PERU,29.38,0.27
010305,Amazonas,Norte,Bongará,Cuispes,649.0,122.0,18.798151,2.0,0.0,94.87,0.5720783,90.63136,GANA PERU,40.0,0.25
010306,Amazonas,Norte,Bongará,Florida,3336.0,651.0,19.514389,2.0,0.0,95.88,0.5757101,88.8834,FUERZA 2011,23.08,0.33
010307,Amazonas,Norte,Bongará,Jazán,5069.0,1220.0,24.067863,3.0,1.0,59.96,0.61330724,94.4318,FUERZA 2011,4.42,0.33
010308,Amazonas,Norte,Bongará,Recta,351.0,93.0,26.495726,3.0,1.0,98.25,0.58350897,95.32164,GANA PERU,19.3,0.27
010309,Amazonas,Norte,Bongará,San Carlos,360.0,71.0,19.722221,2.0,0.0,89.72,0.58276385,89.43396,GANA PERU,22.43,0.25
010310,Amazonas,Norte,Bongará,Shipasbamba,1011.0,202.0,19.980217,2.0,0.0,81.99,0.5756624,89.76109,FUERZA 2011,21.74,0.28
010311,Amazonas,Norte,Bongará,Valera,661.0,110.0,16.641453,1.0,0.0,99.06,0.55547875,90.56806,FUERZA 2011,12.89,0.26
010312,Amazonas,Norte,Bongará,Yambrasbamba,3446.0,711.0,20.632618,2.0,1.0,98.35,0.57421297,88.18667,FUERZA 2011,34.33,0.29
010401,Amazonas,Norte,Condorcanqui,Nieva,11035.0,3030.0,27.458088,3.0,1.0,98.38,0.5341919,82.44695,GANA PERU,56.38,0.31
010402,Amazonas,Norte,Condorcanqui,El Cenepa,5519.0,1546.0,28.012321,3.0,1.0,99.81,0.5070158,78.09729,GANA PERU,56.57,0.28
010403,Amazonas,Norte,Condorcanqui,Río Santiago,5621.0,1686.0,29.994663,3.0,1.0,99.79,0.52713645,80.40236,GANA PERU,56.33,0.26
010501,Amazonas,Norte,Luya,Lamud,1464.0,338.0,23.087431,2.0,1.0,63.55,0.59659797,86.48817,FUERZA 2011,3.06,0.37
010502,Amazonas,Norte,Luya,Camporredondo,3048.0,547.0,17.946194,1.0,0.0,98.65,0.5699911,85.75604,PERU POSIBLE,6.09,0.32
010503,Amazonas,Norte,Luya,Cocabamba,1174.0,468.0,39.863712,3.0,1.0,99.63,0.5435742,84.35226,FUERZA 2011,27.71,0.28
010504,Amazonas,Norte,Luya,Colcamar,1411.0,252.0,17.859674,1.0,0.0,84.94,0.5592171,84.46602,FUERZA 2011,6.09,0.32
010505,Amazonas,Norte,Luya,Conila,1202.0,222.0,18.469217,2.0,0.0,81.92,0.5583098,82.35294,FUERZA 2011,5.96,0.28
010506,Amazonas,Norte,Luya,Inguilpata,468.0,98.0,20.94017,2.0,1.0,62.94,0.58366835,88.8454,PERU POSIBLE,13.71,0.28
010507,Amazonas,Norte,Luya,Longuita,623.0,111.0,17.817015,1.0,0.0,99.57,0.5686286,87.12375,FUERZA 2011,6.84,0.3
010508,Amazonas,Norte,Luya,Lonya Chico,710.0,159.0,22.394365,2.0,1.0,88.26,0.56633097,85.42274,GANA PERU,7.2,0.29
010509,Amazonas,Norte,Luya,Luya,2407.0,457.0,18.98629,2.0,0.0,77.34,0.5824969,86.090225,FUERZA 2011,3.4,0.36
010510,Amazonas,Norte,Luya,Luya Viejo,288.0,42.0,14.583333,1.0,0.0,95.19,0.5645042,85.328186,PERU POSIBLE,1.92,0.29
010511,Amazonas,Norte,Luya,María,590.0,118.0,20.0,2.0,0.0,94.76,0.5911171,92.29391,FUERZA 2011,3.81,0.29
